"naam"	"naam_clean"
"cfiA positive"	"cfiA positive"
"Chaetomium globosum"	"Chaetomium globosum"
"Chaetomium nigricolor"	"Chaetomium nigricolor"
"Chelonobacter oris"	"Chelonobacter oris"
"Christensenella minuta"	"Christensenella minuta"
"Chromobacterium aquaticum"	"Chromobacterium aquaticum"
"Chromobacterium subtsugae"	"Chromobacterium subtsugae"
"Chromobacterium violaceum"	"Chromobacterium violaceum"
"Chromohalobacter salexigens"	"Chromohalobacter salexigens"
"Chryseobacterium aquifrigidense"	"Chryseobacterium aquifrigidense"
"Chryseobacterium arachidiradicis"	"Chryseobacterium arachidiradicis"
"Chryseobacterium arachidis"	"Chryseobacterium arachidis"
"Chryseobacterium arthrosphaerae"	"Chryseobacterium arthrosphaerae"
"Chryseobacterium balustinum"	"Chryseobacterium balustinum"
"Chryseobacterium bovis"	"Chryseobacterium bovis"
"Chryseobacterium caeni"	"Chryseobacterium caeni"
"Chryseobacterium chaponense"	"Chryseobacterium chaponense"
"Chryseobacterium daecheongense"	"Chryseobacterium daecheongense"
"Chryseobacterium defluvii"	"Chryseobacterium defluvii"
"Chryseobacterium elymi"	"Chryseobacterium elymi"
"Chryseobacterium formosense"	"Chryseobacterium formosense"
"Chryseobacterium gambrini"	"Chryseobacterium gambrini"
"Chryseobacterium geocarposphaerae"	"Chryseobacterium geocarposphaerae"
"Chryseobacterium ginsenosidimutans"	"Chryseobacterium ginsenosidimutans"
"Chryseobacterium gleum"	"Chryseobacterium gleum"
"Chryseobacterium greenlandense"	"Chryseobacterium greenlandense"
"Chryseobacterium gregarium"	"Chryseobacterium gregarium"
"Chryseobacterium hagamense"	"Chryseobacterium hagamense"
"Chryseobacterium hispanicum"	"Chryseobacterium hispanicum"
"Chryseobacterium hominis"	"Chryseobacterium hominis"
"Chryseobacterium humi"	"Chryseobacterium humi"
"Chryseobacterium hungaricum"	"Chryseobacterium hungaricum"
"Chryseobacterium indologenes"	"Chryseobacterium indologenes"
"Chryseobacterium indoltheticum"	"Chryseobacterium indoltheticum"
"Chryseobacterium joostei"	"Chryseobacterium joostei"
"Chryseobacterium koreense"	"Chryseobacterium koreense"
"Chryseobacterium lathyri"	"Chryseobacterium lathyri"
"Chryseobacterium luteum"	"Chryseobacterium luteum"
"Chryseobacterium molle"	"Chryseobacterium molle"
"Chryseobacterium montanum"	"Chryseobacterium montanum"
"Chryseobacterium oncorhynchi"	"Chryseobacterium oncorhynchi"
"Chryseobacterium oranimense"	"Chryseobacterium oranimense"
"Chryseobacterium pallidum"	"Chryseobacterium pallidum"
"Chryseobacterium piscicola"	"Chryseobacterium piscicola"
"Chryseobacterium piscium"	"Chryseobacterium piscium"
"Chryseobacterium profundimaris"	"Chryseobacterium profundimaris"
"Chryseobacterium rhizosphaerae"	"Chryseobacterium rhizosphaerae"
"Chryseobacterium scophthalmum"	"Chryseobacterium scophthalmum"
"Chryseobacterium shandongense"	"Chryseobacterium shandongense"
"Chryseobacterium shigense"	"Chryseobacterium shigense"
"Chryseobacterium soldanellicola"	"Chryseobacterium soldanellicola"
"Chryseobacterium sp"	"Chryseobacterium sp"
"Chryseobacterium taeanense"	"Chryseobacterium taeanense"
"Chryseobacterium taichungense"	"Chryseobacterium taichungense"
"Chryseobacterium taihuense"	"Chryseobacterium taihuense"
"Chryseobacterium taiwanense"	"Chryseobacterium taiwanense"
"Chryseobacterium tructae"	"Chryseobacterium tructae"
"Chryseobacterium ureilyticum"	"Chryseobacterium ureilyticum"
"Chryseobacterium vrystaatense"	"Chryseobacterium vrystaatense"
"Chryseobacterium wanjuense"	"Chryseobacterium wanjuense"
"Chryseobacterium zeae"	"Chryseobacterium zeae"
"Chrysosporium keratinophilum"	"Chrysosporium keratinophilum"
"Chrysosporium shanxiense"	"Chrysosporium shanxiense"
"Citricoccus nitrophenolicus"	"Citricoccus nitrophenolicus"
"Citrobacter amalonaticus"	"Citrobacter amalonaticus"
"Citrobacter braakii"	"Citrobacter braakii"
"Citrobacter farmeri"	"Citrobacter farmeri"
"Citrobacter freundii"	"Citrobacter freundii"
"Citrobacter gillenii"	"Citrobacter gillenii"
"Citrobacter koseri"	"Citrobacter koseri"
"Citrobacter murliniae"	"Citrobacter murliniae"
"Citrobacter rodentium"	"Citrobacter rodentium"
"Citrobacter sedlakii"	"Citrobacter sedlakii"
"Citrobacter spp."	"Citrobacter sp"
"Citrobacter youngae"	"Citrobacter youngae"
"Cladophialophora bantiana"	"Cladophialophora bantiana"
"Cladophialophora species"	"Cladophialophora species"
"Cladosporium cladosporioides"	"Cladosporium cladosporioides"
"Cladosporium herbarum"	"Cladosporium herbarum"
"Cladosporium sp"	"Cladosporium sp"
"Cladosporium species"	"Cladosporium species"
"Cladosporium sphaerospermum"	"Cladosporium sphaerospermum"
"Clavibacter michiganensis"	"Clavibacter michiganensis"
"Clostridium acetobutylicum"	"Clostridium acetobutylicum"
"Clostridium aciditolerans"	"Clostridium aciditolerans"
"Clostridium aerotolerans"	"Clostridium aerotolerans"
"Clostridium aldenense"	"Clostridium aldenense"
"Clostridium algidicarnis"	"Clostridium algidicarnis"
"Clostridium algidixylanolyticum"	"Clostridium algidixylanolyticum"
"Clostridium aminophilum"	"Clostridium aminophilum"
"Clostridium baratii"	"Clostridium baratii"
"Clostridium beijerinckii"	"Clostridium beijerinckii"
"Clostridium bolteae"	"Clostridium bolteae"
"Clostridium botulinum"	"Clostridium botulinum"
"Clostridium butyricum"	"Clostridium butyricum"
"Clostridium cadaveris"	"Clostridium cadaveris"
"Clostridium carboxidivorans"	"Clostridium carboxidivorans"
"Clostridium carnis"	"Clostridium carnis"
"Clostridium celerecrescens"	"Clostridium celerecrescens"
"Clostridium cellobioparum"	"Clostridium cellobioparum"
"Clostridium chauvoei"	"Clostridium chauvoei"
"Clostridium chromiireducens"	"Clostridium chromiireducens"
"Clostridium citroniae"	"Clostridium citroniae"
"Clostridium clostridioforme"	"Clostridium clostridioforme"
"Clostridium cochlearium"	"Clostridium cochlearium"
"Clostridium colicanis"	"Clostridium colicanis"
"Clostridium colinum"	"Clostridium colinum"
"Clostridium collagenovorans"	"Clostridium collagenovorans"
"Clostridium difficile"	"Clostridium difficile"
"Clostridium diolis"	"Clostridium diolis"
"Clostridium disporicum"	"Clostridium disporicum"
"Clostridium drakei"	"Clostridium drakei"
"Clostridium fallax"	"Clostridium fallax"
"Clostridium formicaceticum"	"Clostridium formicaceticum"
"Clostridium frigoris"	"Clostridium frigoris"
"Clostridium glycyrrhizinilyticum"	"Clostridium glycyrrhizinilyticum"
"Clostridium haemolyticum"	"Clostridium haemolyticum"
"Clostridium hathewayi"	"Clostridium hathewayi"
"Clostridium hiranonis"	"Clostridium hiranonis"
"Clostridium homopropionicum"	"Clostridium homopropionicum"
"Clostridium hylemonae"	"Clostridium hylemonae"
"Clostridium indolis"	"Clostridium indolis"
"Clostridium innocuum"	"Clostridium innocuum"
"Clostridium intestinale"	"Clostridium intestinale"
"Clostridium isatidis"	"Clostridium isatidis"
"Clostridium jeddahense"	"Clostridium jeddahense"
"Clostridium lundense"	"Clostridium lundense"
"Clostridium magnum"	"Clostridium magnum"
"Clostridium malenominatum"	"Clostridium malenominatum"
"Clostridium novyi"	"Clostridium novyi"
"Clostridium papyrosolvens"	"Clostridium papyrosolvens"
"Clostridium paraputrificum"	"Clostridium paraputrificum"
"Clostridium pasteurianum"	"Clostridium pasteurianum"
"Clostridium perfringens"	"Clostridium perfringens"
"Clostridium phytofermentans"	"Clostridium phytofermentans"
"Clostridium putrificum"	"Clostridium putrificum"
"Clostridium ramosum"	"Clostridium ramosum"
"Clostridium saccharobutylicum"	"Clostridium saccharobutylicum"
"Clostridium saccharogumia"	"Clostridium saccharogumia"
"Clostridium sardiniense"	"Clostridium sardiniense"
"Clostridium sartagoforme"	"Clostridium sartagoforme"
"Clostridium saudiense"	"Clostridium saudiense"
"Clostridium schirmacherense"	"Clostridium schirmacherense"
"Clostridium scindens"	"Clostridium scindens"
"Clostridium septicum"	"Clostridium septicum"
"Clostridium sp"	"Clostridium sp"
"Clostridium sp[2]"	"Clostridium sp"
"Clostridium sphenoides"	"Clostridium sphenoides"
"Clostridium spiroforme"	"Clostridium spiroforme"
"Clostridium sporogenes"	"Clostridium sporogenes"
"Clostridium sporosphaeroides"	"Clostridium sporosphaeroides"
"Clostridium subterminale"	"Clostridium subterminale"
"Clostridium symbiosum"	"Clostridium symbiosum"
"Clostridium tertium"	"Clostridium tertium"
"Clostridium tetani"	"Clostridium tetani"
"Clostridium thermopalmarium"	"Clostridium thermopalmarium"
"Clostridium tunisiense"	"Clostridium tunisiense"
"Clostridium tyrobutyricum"	"Clostridium tyrobutyricum"
"Coccidioides immitis-posadasii"	"Coccidioides immitis-posadasii"
"Coetzeea brasiliensis"	"Coetzeea brasiliensis"
"Cohnella fontinalis"	"Cohnella fontinalis"
"Cohnella hongkongensis"	"Cohnella hongkongensis"
"Cohnella lubricantis"	"Cohnella lubricantis"
"Colletotrichum gloeosporioides"	"Colletotrichum gloeosporioides"
"Collinsella aerofaciens"	"Collinsella aerofaciens"
"Comamonas aquatica"	"Comamonas aquatica"
"Comamonas aquatilis"	"Comamonas aquatilis"
"Comamonas jiangduensis"	"Comamonas jiangduensis"
"Comamonas kerstersii"	"Comamonas kerstersii"
"Comamonas koreensis"	"Comamonas koreensis"
"Comamonas nitrativorans"	"Comamonas nitrativorans"
"Comamonas terrigena"	"Comamonas terrigena"
"Comamonas testosteroni"	"Comamonas testosteroni"
"Coniochaeta hoffmannii"	"Coniochaeta hoffmannii"
"Coniochaeta mutabilis"	"Coniochaeta mutabilis"
"Coprobacillus cateniformis"	"Coprobacillus cateniformis"
"Cordyceps farinosa"	"Cordyceps farinosa"
"Corynebacterium accolens"	"Corynebacterium accolens"
"Corynebacterium afermentans"	"Corynebacterium afermentans"
"Corynebacterium ammoniagenes"	"Corynebacterium ammoniagenes"
"Corynebacterium amycolatum"	"Corynebacterium amycolatum"
"Corynebacterium appendicis"	"Corynebacterium appendicis"
"Corynebacterium aquilae"	"Corynebacterium aquilae"
"Corynebacterium argentoratense"	"Corynebacterium argentoratense"
"Corynebacterium aurimucosum"	"Corynebacterium aurimucosum"
"Corynebacterium auris"	"Corynebacterium auris"
"Corynebacterium auriscanis"	"Corynebacterium auriscanis"
"Corynebacterium bovis"	"Corynebacterium bovis"
"Corynebacterium callunae"	"Corynebacterium callunae"
"Corynebacterium camporealensis"	"Corynebacterium camporealensis"
"Corynebacterium capitovis"	"Corynebacterium capitovis"
"Corynebacterium casei"	"Corynebacterium casei"
"Corynebacterium ciconiae"	"Corynebacterium ciconiae"
"Corynebacterium confusum"	"Corynebacterium confusum"
"Corynebacterium coyleae"	"Corynebacterium coyleae"
"Corynebacterium cystitidis"	"Corynebacterium cystitidis"
"Corynebacterium diphtheriae"	"Corynebacterium diphtheriae"
"Corynebacterium doosanense"	"Corynebacterium doosanense"
"Corynebacterium durum"	"Corynebacterium durum"
"Corynebacterium efficiens"	"Corynebacterium efficiens"
"Corynebacterium falsenii"	"Corynebacterium falsenii"
"Corynebacterium felinum"	"Corynebacterium felinum"
"Corynebacterium flavescens"	"Corynebacterium flavescens"
"Corynebacterium frankenforstense"	"Corynebacterium frankenforstense"
"Corynebacterium freneyi"	"Corynebacterium freneyi"
"Corynebacterium glaucum"	"Corynebacterium glaucum"
"Corynebacterium glucuronolyticum"	"Corynebacterium glucuronolyticum"
"Corynebacterium glutamicum"	"Corynebacterium glutamicum"
"Corynebacterium halotolerans"	"Corynebacterium halotolerans"
"Corynebacterium hansenii"	"Corynebacterium hansenii"
"Corynebacterium imitans"	"Corynebacterium imitans"
"Corynebacterium jeikeium"	"Corynebacterium jeikeium"
"Corynebacterium kroppenstedtii"	"Corynebacterium kroppenstedtii"
"Corynebacterium kutscheri"	"Corynebacterium kutscheri"
"Corynebacterium lipophile_group_F1"	"Corynebacterium lipophile_group_F1"
"Corynebacterium lipophiloflavum"	"Corynebacterium lipophiloflavum"
"Corynebacterium macginleyi"	"Corynebacterium macginleyi"
"Corynebacterium massiliense"	"Corynebacterium massiliense"
"Corynebacterium mastitidis"	"Corynebacterium mastitidis"
"Corynebacterium matruchotii"	"Corynebacterium matruchotii"
"Corynebacterium minutissimum"	"Corynebacterium minutissimum"
"Corynebacterium mucifaciens"	"Corynebacterium mucifaciens"
"Corynebacterium mycetoides"	"Corynebacterium mycetoides"
"Corynebacterium phocae"	"Corynebacterium phocae"
"Corynebacterium pilosum"	"Corynebacterium pilosum"
"Corynebacterium propinquum"	"Corynebacterium propinquum"
"Corynebacterium pseudodiphtheriticum"	"Corynebacterium pseudodiphtheriticum"
"Corynebacterium pseudotuberculosis"	"Corynebacterium pseudotuberculosis"
"Corynebacterium pyruviciproducens"	"Corynebacterium pyruviciproducens"
"Corynebacterium renale"	"Corynebacterium renale"
"Corynebacterium resistens"	"Corynebacterium resistens"
"Corynebacterium riegelii"	"Corynebacterium riegelii"
"Corynebacterium simulans"	"Corynebacterium simulans"
"Corynebacterium singulare"	"Corynebacterium singulare"
"Corynebacterium sp"	"Corynebacterium sp"
"Corynebacterium sp."	"Corynebacterium sp."
"Corynebacterium sp[2]"	"Corynebacterium sp"
"Corynebacterium sphenisci"	"Corynebacterium sphenisci"
"Corynebacterium spheniscorum"	"Corynebacterium spheniscorum"
"Corynebacterium spp"	"Corynebacterium sp"
"Corynebacterium spp."	"Corynebacterium sp"
"Corynebacterium stationis"	"Corynebacterium stationis"
"Corynebacterium striatum"	"Corynebacterium striatum"
"Corynebacterium suicordis"	"Corynebacterium suicordis"
"Corynebacterium sundsvallense"	"Corynebacterium sundsvallense"
"Corynebacterium terpenotabidum"	"Corynebacterium terpenotabidum"
"Corynebacterium testudinoris"	"Corynebacterium testudinoris"
"Corynebacterium thomssenii"	"Corynebacterium thomssenii"
"Corynebacterium timonense"	"Corynebacterium timonense"
"Corynebacterium tuberculostearicum"	"Corynebacterium tuberculostearicum"
"Corynebacterium tuscaniense"	"Corynebacterium tuscaniense"
"Corynebacterium ulcerans"	"Corynebacterium ulcerans"
"Corynebacterium urealyticum"	"Corynebacterium urealyticum"
"Corynebacterium ureicelerivorans"	"Corynebacterium ureicelerivorans"
"Corynebacterium variabile"	"Corynebacterium variabile"
"Corynebacterium vitaeruminis"	"Corynebacterium vitaeruminis"
"Corynebacterium xerosis"	"Corynebacterium xerosis"
"Cosenzaea myxofaciens"	"Cosenzaea myxofaciens"
"Cronobacter sp"	"Cronobacter sp"
"Cryptococcus adeliensis"	"Cryptococcus adeliensis"
"Cryptococcus albidosimilis"	"Cryptococcus albidosimilis"
"Cryptococcus albidus"	"Cryptococcus albidus"
"Cryptococcus albidus_var_albidus"	"Cryptococcus albidus_var_albidus"
"Cryptococcus curvatus"	"Cryptococcus curvatus"
"Cryptococcus cyanovorans"	"Cryptococcus cyanovorans"
"Cryptococcus deneoformans"	"Cryptococcus deneoformans"
"Cryptococcus diffluens"	"Cryptococcus diffluens"
"Cryptococcus flavescens"	"Cryptococcus flavescens"
"Cryptococcus flavus"	"Cryptococcus flavus"
"Cryptococcus gastricus"	"Cryptococcus gastricus"
"Cryptococcus gattii"	"Cryptococcus gattii"
"Cryptococcus humicola"	"Cryptococcus humicola"
"Cryptococcus laurentii"	"Cryptococcus laurentii"
"Cryptococcus liquefaciens"	"Cryptococcus liquefaciens"
"Cryptococcus macerans"	"Cryptococcus macerans"
"Cryptococcus magnus"	"Cryptococcus magnus"
"Cryptococcus neoformans"	"Cryptococcus neoformans"
"Cryptococcus neoformans_var_grubii"	"Cryptococcus neoformans_var_grubii"
"Cryptococcus neoformans_var_neoformans"	"Cryptococcus neoformans_var_neoformans"
"Cryptococcus saitoi"	"Cryptococcus saitoi"
"Cryptococcus terreus"	"Cryptococcus terreus"
"Cryptococcus uzbekistanensis"	"Cryptococcus uzbekistanensis"
"Cryptococcus vishniacii"	"Cryptococcus vishniacii"
"Cryptococcus vishniacii_var_vishniacii"	"Cryptococcus vishniacii_var_vishniacii"
"Cryptococcus_uniguttulatus[ana] (Filobasidium_uniguttulatum[teleo])"	"Cryptococcus_uniguttulatus[ana] (Filobasidium_uniguttulatum[teleo])"
"Cryptotrichosporon anacardii"	"Cryptotrichosporon anacardii"
"Cunninghamella bertholletiae"	"Cunninghamella bertholletiae"
"Cunninghamella elegans"	"Cunninghamella elegans"
"Cunninghamella species"	"Cunninghamella species"
"Cupriavidus basilensis"	"Cupriavidus basilensis"
"Cupriavidus campinensis"	"Cupriavidus campinensis"
"Cupriavidus gilardii"	"Cupriavidus gilardii"
"Cupriavidus metallidurans"	"Cupriavidus metallidurans"
"Cupriavidus necator"	"Cupriavidus necator"
"Cupriavidus oxalaticus"	"Cupriavidus oxalaticus"
"Cupriavidus pauculus"	"Cupriavidus pauculus"
"Cupriavidus respiraculi"	"Cupriavidus respiraculi"
"Curtobacterium albidum"	"Curtobacterium albidum"
"Curtobacterium flaccumfaciens"	"Curtobacterium flaccumfaciens"
"Curtobacterium luteum"	"Curtobacterium luteum"
"Curtobacterium sp"	"Curtobacterium sp"
"Curvibacter fontanus"	"Curvibacter fontanus"
"Curvibacter lanceolatus"	"Curvibacter lanceolatus"
"Curvibacter spp_Nov_MS_Type"	"Curvibacter sp"
"Curvularia clavata"	"Curvularia clavata"
"Curvularia geniculata"	"Curvularia geniculata"
"Curvularia lunata"	"Curvularia lunata"
"Curvularia pallescens"	"Curvularia pallescens"
"Curvularia species"	"Curvularia species"
"Curvularia trifolii"	"Curvularia trifolii"
"Curvularia verruculosa"	"Curvularia verruculosa"
"Cutaneotrichosporon cyanovorans"	"Cutaneotrichosporon cyanovorans"
"Cutibacterium acnes"	"Cutibacterium acnes"
"Cutibacterium avidum"	"Cutibacterium avidum"
"Cutibacterium granulosum"	"Cutibacterium granulosum"
"Cutibacterium humerusii"	"Cutibacterium humerusii"
"Cutibacterium namnetense"	"Cutibacterium namnetense"
"Cyberlindnera fabianii"	"Cyberlindnera fabianii"
"Cyberlindnera mississippiensis"	"Cyberlindnera mississippiensis"
"Debaryomyces etchellsii"	"Debaryomyces etchellsii"
"Debaryomyces hansenii"	"Debaryomyces hansenii"
"Deinococcus aerolatus"	"Deinococcus aerolatus"
"Deinococcus ficus"	"Deinococcus ficus"
"Deinococcus geothermalis"	"Deinococcus geothermalis"
"Deinococcus proteolyticus"	"Deinococcus proteolyticus"
"Deinococcus radiophilus"	"Deinococcus radiophilus"
"Deinococcus wulumuqiensis"	"Deinococcus wulumuqiensis"
"Delftia acidovorans"	"Delftia acidovorans"
"Delftia lacustris"	"Delftia lacustris"
"Delftia litopenaei"	"Delftia litopenaei"
"Dematiaceous Scopulariopsis"	"Dematiaceous Scopulariopsis"
"Dermabacter hominis"	"Dermabacter hominis"
"Dermabacter vaginalis"	"Dermabacter vaginalis"
"Dermacoccus nishinomiyaensis"	"Dermacoccus nishinomiyaensis"
"Dermacoccus sp"	"Dermacoccus sp"
"Dermacoccus sp[3]"	"Dermacoccus sp"
"Dermatophilus congolensis"	"Dermatophilus congolensis"
"Desemzia incerta"	"Desemzia incerta"
"Desulfovibrio desulfuricans"	"Desulfovibrio desulfuricans"
"Desulfovibrio piger"	"Desulfovibrio piger"
"Desulfovibrio simplex"	"Desulfovibrio simplex"
"Devosia riboflavina"	"Devosia riboflavina"
"Dialister micraerophilus"	"Dialister micraerophilus"
"Dialister pneumosintes"	"Dialister pneumosintes"
"Dichelobacter nodosus"	"Dichelobacter nodosus"
"Dichotomopilus funicola"	"Dichotomopilus funicola"
"Dickeya chrysanthemi"	"Dickeya chrysanthemi"
"Dickeya dadantii"	"Dickeya dadantii"
"Dickeya dianthicola"	"Dickeya dianthicola"
"Dickeya paradisiaca"	"Dickeya paradisiaca"
"Dickeya zeae"	"Dickeya zeae"
"Didymella aurea"	"Didymella aurea"
"Dielma fastidiosa"	"Dielma fastidiosa"
"Dietzia cinnamea"	"Dietzia cinnamea"
"Dietzia maris"	"Dietzia maris"
"Dietzia natronolimnaea"	"Dietzia natronolimnaea"
"Dietzia sp[2]"	"Dietzia sp"
"Dietzia sp[4]"	"Dietzia sp"
"Dipodascus ingens"	"Dipodascus ingens"
"Dolosigranulum pigrum"	"Dolosigranulum pigrum"
"Domibacillus enclensis"	"Domibacillus enclensis"
"Domibacillus iocasae"	"Domibacillus iocasae"
"Domibacillus robiginosus"	"Domibacillus robiginosus"
"Domibacillus sp[2]"	"Domibacillus sp"
"Dyella japonica"	"Dyella japonica"
"Dyella jiangningensis"	"Dyella jiangningensis"
"Dyella kyungheensis"	"Dyella kyungheensis"
"Dyella terrae"	"Dyella terrae"
"Dysgonomonas capnocytophagoides"	"Dysgonomonas capnocytophagoides"
"Dysgonomonas gadei"	"Dysgonomonas gadei"
"E0013"	"E0013"
"E0045"	"E0045"
"E0060"	"E0060"
"E0073"	"E0073"
"E0092"	"E0092"
"E0125"	"E0125"
"E0128"	"E0128"
"E0135"	"E0135"
"E0144"	"E0144"
"E0155"	"E0155"
"E0161"	"E0161"
"E0172"	"E0172"
"E0174"	"E0174"
"E0211"	"E0211"
"E0300"	"E0300"
"E0321"	"E0321"
"E0322"	"E0322"
"E0380"	"E0380"
"E0429"	"E0429"
"E0463"	"E0463"
"E0470"	"E0470"
"E0734"	"E0734"
"E0745"	"E0745"
"E0772"	"E0772"
"E0802"	"E0802"
"E1002"	"E1002"
"E1007"	"E1007"
"E1028"	"E1028"
"E1039"	"E1039"
"E1071"	"E1071"
"E1132"	"E1132"
"E1133"	"E1133"
"E1147"	"E1147"
"E1162"	"E1162"
"E1162 ST17_30"	"E1162 ST17_30"
"E1172"	"E1172"
"E1224"	"E1224"
"E1250"	"E1250"
"E1302"	"E1302"
"E1307"	"E1307"
"E1308"	"E1308"
"E1316"	"E1316"
"E1333"	"E1333"
"E1340"	"E1340"
"E1360"	"E1360"
"E1391"	"E1391"
"E1403"	"E1403"
"E1421"	"E1421"
"E1423"	"E1423"
"E1435"	"E1435"
"E1441"	"E1441"
"E1463"	"E1463"
"E1467"	"E1467"
"E1485"	"E1485"
"E1499"	"E1499"
"E1500"	"E1500"
"E1554"	"E1554"
"E1573"	"E1573"
"E1574"	"E1574"
"E1576"	"E1576"
"E1590"	"E1590"
"E1607"	"E1607"
"E1613"	"E1613"
"E1616"	"E1616"
"E1619"	"E1619"
"E1620"	"E1620"
"E1621"	"E1621"
"E1622"	"E1622"
"E1625"	"E1625"
"E1628"	"E1628"
"E1630"	"E1630"
"E1636"	"E1636"
"E1643"	"E1643"
"E1644"	"E1644"
"E1652"	"E1652"
"E1669"	"E1669"
"E1670"	"E1670"
"E1674"	"E1674"
"E1675"	"E1675"
"E1679"	"E1679"
"E1716"	"E1716"
"E1717"	"E1717"
"E1721"	"E1721"
"E1734"	"E1734"
"E1735"	"E1735"
"E1737"	"E1737"
"E1743"	"E1743"
"E1755"	"E1755"
"E1759"	"E1759"
"E1760"	"E1760"
"E1764"	"E1764"
"E1766"	"E1766"
"E1778"	"E1778"
"E1781"	"E1781"
"E1794"	"E1794"
"E1850"	"E1850"
"E1861"	"E1861"
"E1863"	"E1863"
"E1921"	"E1921"
"E1972"	"E1972"
"E2122"	"E2122"
"E2135"	"E2135"
"E2359"	"E2359"
"E2620"	"E2620"
"E3083"	"E3083"
"E3548"	"E3548"
"E4200"	"E4200"
"E4231"	"E4231"
"E4400"	"E4400"
"E4406"	"E4406"
"E4420"	"E4420"
"E4423"	"E4423"
"E4428"	"E4428"
"E4589"	"E4589"
"E4590"	"E4590"
"E550"	"E550"
"E6358"	"E6358"
"E680"	"E680"
"E7308"	"E7308"
"E7310"	"E7310"
"E7314 ST117"	"E7314 ST117"
"E7315"	"E7315"
"E7315 ST117"	"E7315 ST117"
"E7318"	"E7318"
"E7321 OLVG"	"E7321 OLVG"
"E7322"	"E7322"
"E7323"	"E7323"
"E7323 ST494"	"E7323 ST494"
"E7324"	"E7324"
"E7324 ST494"	"E7324 ST494"
"E7325"	"E7325"
"E7326"	"E7326"
"E7327"	"E7327"
"E7329"	"E7329"
"E7332"	"E7332"
"E7333"	"E7333"
"E7334"	"E7334"
"E7335"	"E7335"
"E7336"	"E7336"
"E7337"	"E7337"
"E7337 ST117"	"E7337 ST117"
"E7338"	"E7338"
"E7338 ST117"	"E7338 ST117"
"E7339"	"E7339"
"E7340"	"E7340"
"E7341"	"E7341"
"E7343"	"E7343"
"E7346"	"E7346"
"E7347"	"E7347"
"E7348"	"E7348"
"E7349"	"E7349"
"E7350"	"E7350"
"E7351"	"E7351"
"E7352"	"E7352"
"E7353"	"E7353"
"E7355"	"E7355"
"E7437"	"E7437"
"E7438"	"E7438"
"E7439"	"E7439"
"E7440"	"E7440"
"E7441"	"E7441"
"E7442"	"E7442"
"E7443"	"E7443"
"E7445"	"E7445"
"E7446"	"E7446"
"E7447"	"E7447"
"E7450"	"E7450"
"E7451"	"E7451"
"E7452"	"E7452"
"E7454"	"E7454"
"E7455"	"E7455"
"E7456"	"E7456"
"E7458"	"E7458"
"E7459"	"E7459"
"E7460"	"E7460"
"E7461"	"E7461"
"E7463"	"E7463"
"E7464"	"E7464"
"E7465"	"E7465"
"E7467"	"E7467"
"E7468"	"E7468"
"E7469"	"E7469"
"E7470"	"E7470"
"E7472"	"E7472"
"E7473"	"E7473"
"E7474"	"E7474"
"E7476"	"E7476"
"E7477"	"E7477"
"E7478"	"E7478"
"E7479"	"E7479"
"E7481"	"E7481"
"E7482"	"E7482"
"E7483"	"E7483"
"E7484"	"E7484"
"E7485"	"E7485"
"E7486"	"E7486"
"E7487"	"E7487"
"E7488"	"E7488"
"E7489"	"E7489"
"E7491"	"E7491"
"E7492"	"E7492"
"E7493"	"E7493"
"E7494"	"E7494"
"E7495"	"E7495"
"E7496"	"E7496"
"E7530"	"E7530"
"E820"	"E820"
"E830"	"E830"
"E980"	"E980"
"E986"	"E986"
"Edwardsiella hoshinae"	"Edwardsiella hoshinae"
"Edwardsiella ictaluri"	"Edwardsiella ictaluri"
"Edwardsiella tarda"	"Edwardsiella tarda"
"Eggerthella lenta"	"Eggerthella lenta"
"Eggerthellaceae 20-528663.8"	"Eggerthellaceae 20-528663.8"
"Eggerthia catenaformis"	"Eggerthia catenaformis"
"Eikenella corrodens"	"Eikenella corrodens"
"Eikenella spp."	"Eikenella sp"
"Eisenbergiella massiliensis"	"Eisenbergiella massiliensis"
"Elizabethkingia anophelis"	"Elizabethkingia anophelis"
"Elizabethkingia meningoseptica"	"Elizabethkingia meningoseptica"
"Elizabethkingia miricola"	"Elizabethkingia miricola"
"Emergencia timonensis"	"Emergencia timonensis"
"Emericella nidulans"	"Emericella nidulans"
"Emericella quadrilineata"	"Emericella quadrilineata"
"Empedobacter brevis"	"Empedobacter brevis"
"Engyodontium species"	"Engyodontium species"
"Enorma massiliensis"	"Enorma massiliensis"
"Enterobacter asburiae"	"Enterobacter asburiae"
"Enterobacter bugandensis"	"Enterobacter bugandensis"
"Enterobacter cancerogenus"	"Enterobacter cancerogenus"
"Enterobacter cloacae"	"Enterobacter cloacae"
"Enterobacter hormaechei"	"Enterobacter hormaechei"
"Enterobacter kobei"	"Enterobacter kobei"
"Enterobacter ludwigii"	"Enterobacter ludwigii"
"Enterobacter sp."	"Enterobacter sp."
"Enterobacter xiangfangensis"	"Enterobacter xiangfangensis"
"Enterobacteriaceae 17_571400"	"Enterobacteriaceae"
"Enterococcus aquimarinus"	"Enterococcus aquimarinus"
"Enterococcus asini"	"Enterococcus asini"
"Enterococcus avium"	"Enterococcus avium"
"Enterococcus caccae"	"Enterococcus caccae"
"Enterococcus canintestini"	"Enterococcus canintestini"
"Enterococcus canis"	"Enterococcus canis"
"Enterococcus casseliflavus"	"Enterococcus casseliflavus"
