"naam"	"naam_clean"
"Actinobaculum massiliense"	"Actinobaculum massiliense"
"Actinobaculum suis"	"Actinobaculum suis"
"Actinobaculum urinale"	"Actinobaculum urinale"
"Actinocorallia libanotica"	"Actinocorallia libanotica"
"Actinokineospora fastidiosa"	"Actinokineospora fastidiosa"
"Actinomucor elegans"	"Actinomucor elegans"
"Actinomyces bovis"	"Actinomyces bovis"
"Actinomyces bowdenii"	"Actinomyces bowdenii"
"Actinomyces canis"	"Actinomyces canis"
"Actinomyces cardiffensis"	"Actinomyces cardiffensis"
"Actinomyces catuli"	"Actinomyces catuli"
"Actinomyces coleocanis"	"Actinomyces coleocanis"
"Actinomyces dentalis"	"Actinomyces dentalis"
"Actinomyces denticolens"	"Actinomyces denticolens"
"Actinomyces europaeus"	"Actinomyces europaeus"
"Actinomyces funkei"	"Actinomyces funkei"
"Actinomyces georgiae"	"Actinomyces georgiae"
"Actinomyces gerencseriae"	"Actinomyces gerencseriae"
"Actinomyces graevenitzii"	"Actinomyces graevenitzii"
"Actinomyces hominis"	"Actinomyces hominis"
"Actinomyces hongkongensis"	"Actinomyces hongkongensis"
"Actinomyces hordeovulneris"	"Actinomyces hordeovulneris"
"Actinomyces hyovaginalis"	"Actinomyces hyovaginalis"
"Actinomyces israelii"	"Actinomyces israelii"
"Actinomyces marimammalium"	"Actinomyces marimammalium"
"Actinomyces mediterranea"	"Actinomyces mediterranea"
"Actinomyces meyeri"	"Actinomyces meyeri"
"Actinomyces naeslundii"	"Actinomyces naeslundii"
"Actinomyces nasicola"	"Actinomyces nasicola"
"Actinomyces neuii"	"Actinomyces neuii"
"Actinomyces odontolyticus"	"Actinomyces odontolyticus"
"Actinomyces oris"	"Actinomyces oris"
"Actinomyces polynesiensis"	"Actinomyces polynesiensis"
"Actinomyces radicidentis"	"Actinomyces radicidentis"
"Actinomyces radingae"	"Actinomyces radingae"
"Actinomyces ruminicola"	"Actinomyces ruminicola"
"Actinomyces sp"	"Actinomyces sp"
"Actinomyces sp_nov_1"	"Actinomyces sp"
"Actinomyces suimastitidis"	"Actinomyces suimastitidis"
"Actinomyces turicensis"	"Actinomyces turicensis"
"Actinomyces urogenitalis"	"Actinomyces urogenitalis"
"Actinomyces vaccimaxillae"	"Actinomyces vaccimaxillae"
"Actinomyces viscosus"	"Actinomyces viscosus"
"Actinomyces weissii"	"Actinomyces weissii"
"Actinotignum sanguinis"	"Actinotignum sanguinis"
"Actinotignum schaalii"	"Actinotignum schaalii"
"Actinotignum urinale"	"Actinotignum urinale"
"Adlercreutzia equolifaciens"	"Adlercreutzia equolifaciens"
"Advenella incenata"	"Advenella incenata"
"Advenella kashmirensis"	"Advenella kashmirensis"
"Advenella mimigardefordensis"	"Advenella mimigardefordensis"
"Aeribacillus pallidus"	"Aeribacillus pallidus"
"Aerococcus christensenii"	"Aerococcus christensenii"
"Aerococcus sanguinicola"	"Aerococcus sanguinicola"
"Aerococcus urinae"	"Aerococcus urinae"
"Aerococcus urinaehominis"	"Aerococcus urinaehominis"
"Aerococcus viridans"	"Aerococcus viridans"
"Aeromicrobium flavum"	"Aeromicrobium flavum"
"Aeromicrobium massiliense"	"Aeromicrobium massiliense"
"Aeromicrobium sp"	"Aeromicrobium sp"
"Aeromonas bestiarum"	"Aeromonas bestiarum"
"Aeromonas caviae"	"Aeromonas caviae"
"Aeromonas encheleia"	"Aeromonas encheleia"
"Aeromonas enteropelogenes"	"Aeromonas enteropelogenes"
"Aeromonas eucrenophila"	"Aeromonas eucrenophila"
"Aeromonas hydrophila"	"Aeromonas hydrophila"
"Aeromonas ichthiosmia"	"Aeromonas ichthiosmia"
"Aeromonas jandaei"	"Aeromonas jandaei"
"Aeromonas media"	"Aeromonas media"
"Aeromonas molluscorum"	"Aeromonas molluscorum"
"Aeromonas popoffii"	"Aeromonas popoffii"
"Aeromonas punctata"	"Aeromonas punctata"
"Aeromonas salmonicida"	"Aeromonas salmonicida"
"Aeromonas salmonicida15-536243-1"	"Aeromonas salmonicida"
"Aeromonas schubertii"	"Aeromonas schubertii"
"Aeromonas simiae"	"Aeromonas simiae"
"Aeromonas sobria"	"Aeromonas sobria"
"Aeromonas sp"	"Aeromonas sp"
"Aeromonas sp[2]"	"Aeromonas sp"
"Aeromonas veronii"	"Aeromonas veronii"
"Afipia broomeae"	"Afipia broomeae"
"Afipia felis"	"Afipia felis"
"Afipia genospp."	"Afipia sp"
"Afipia massiliensis"	"Afipia massiliensis"
"Afipia spp_Nov_MS_Type"	"Afipia sp"
"Aggregatibacter actinomycetemcomitans"	"Aggregatibacter actinomycetemcomitans"
"Aggregatibacter aphrophilus"	"Aggregatibacter aphrophilus"
"Aggregatibacter segnis"	"Aggregatibacter segnis"
"Agrococcus baldri"	"Agrococcus baldri"
"Agrococcus casei"	"Agrococcus casei"
"Agrococcus jenensis"	"Agrococcus jenensis"
"Agrococcus terreus"	"Agrococcus terreus"
"Agromyces bracchium"	"Agromyces bracchium"
"Agromyces cerinus"	"Agromyces cerinus"
"Agromyces fucosus"	"Agromyces fucosus"
"Agromyces hippuratus"	"Agromyces hippuratus"
"Agromyces humatus"	"Agromyces humatus"
"Agromyces italicus"	"Agromyces italicus"
"Agromyces lapidis"	"Agromyces lapidis"
"Agromyces mediolanus"	"Agromyces mediolanus"
"Agromyces neolithicus"	"Agromyces neolithicus"
"Agromyces rhizospherae"	"Agromyces rhizospherae"
"Agromyces salentinus"	"Agromyces salentinus"
"Agromyces subbeticus"	"Agromyces subbeticus"
"Akkermansia muciniphila"	"Akkermansia muciniphila"
"Alcaligenes faecalis"	"Alcaligenes faecalis"
"Alcaligenes sp"	"Alcaligenes sp"
"Alicyclobacillus acidiphilus"	"Alicyclobacillus acidiphilus"
"Alicyclobacillus acidocaldarius"	"Alicyclobacillus acidocaldarius"
"Alicyclobacillus acidoterrestris"	"Alicyclobacillus acidoterrestris"
"Alicyclobacillus contaminans"	"Alicyclobacillus contaminans"
"Alicyclobacillus cycloheptanicus"	"Alicyclobacillus cycloheptanicus"
"Alicyclobacillus fastidiosus"	"Alicyclobacillus fastidiosus"
"Alicyclobacillus herbarius"	"Alicyclobacillus herbarius"
"Alicyclobacillus hesperidum"	"Alicyclobacillus hesperidum"
"Alicyclobacillus macrosporangiidus"	"Alicyclobacillus macrosporangiidus"
"Alicyclobacillus pomorum"	"Alicyclobacillus pomorum"
"Alicyclobacillus sacchari"	"Alicyclobacillus sacchari"
"Alicyclobacillus sendaiensis"	"Alicyclobacillus sendaiensis"
"Alicyclobacillus shizuokensis"	"Alicyclobacillus shizuokensis"
"Alicyclobacillus sp"	"Alicyclobacillus sp"
"Alicyclobacillus vulcanalis"	"Alicyclobacillus vulcanalis"
"Aliivibrio fischeri"	"Aliivibrio fischeri"
"Alishewanella fetalis"	"Alishewanella fetalis"
"Alistipes communis"	"Alistipes communis"
"Alistipes finegoldii"	"Alistipes finegoldii"
"Alistipes indistinctus"	"Alistipes indistinctus"
"Alistipes onderdonkii"	"Alistipes onderdonkii"
"Alistipes putredinis"	"Alistipes putredinis"
