"organism";"status";"record_no";"record_lnk";"link";"Current Name";"mnemonic";"Name";"Type";"Description:NL";"Aerobe";"ShortName";"parent.mnemonic";"InternalComment";"ExternalComment";"AntibiogramProperty.Mnemonic";"DefaultAppraisal.Mnemonic";"AutoReportable";"AutoAntibiogram";"DataSheet";"BillingMark";"ReportOfficially";"Disabled";"IsGroup";"TaxonomicGroup";"MaxIntervalDouble";"MaxDifferenceDouble";"MaxTotalDifference";"NosocomialInterval";"InfectionLagBeforeEnc";"CrossInfNeedsATB";"DefaultArchive.Mnemonic";"SeverityFormula.Description";"EntryTrigger.Description";"ConfirmationTrigger.Description";"ValidationTrigger.Description";"AntibiogramConfirm.Description";"DiscriminatorFunction.Description";"~MO_Description";"~RapGroupAB";"~_CrossInfNeedsATB";"~EUCAST_group"
"Abiotrophia defectiva";"VP; comb. nov.; correct name";772468;;;;"abiotadef";"Abiotrophia defectiva";"Germ";"Abiotrophia defectiva";"yes";"Abiotrophia defectiva";"abiotaspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Abiotrophia species";"VP; gen. nov.; correct name";514986;;;;"abiotaspe";"Abiotrophia species";"Germ";"Abiotrophia species";"yes";"Abiotrophia species";"gramposcoc";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"NULL";"NULL";"NULL";"NULL";;;"absidacae";"Absidia caerulea";"Germ";"Absidia caerulea";"yes";"Absidia caerulea";"absidaspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"NULL";"NULL";"NULL";"NULL";;;"absidaspe";"Absidia species";"Germ";"Absidia species";"yes";"Absidia species";"mucorales";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"NULL";"NULL";"NULL";"NULL";;;"acantaspe";"Acanthamoeba species";"Parasite";"Acanthamoeba species";"yes";"Acanthamoeba species";"parasiet";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"NULL";"NULL";"NULL";"NULL";;;"acaulmacr";"Acaulium acremonium";"Germ";"Acaulium acremonium (Scopulariopsis acremonium)";"yes";"Acaulium acremonium";"acaulmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
;;;;;;"acaulmspe";"Acaulium species";"Germ";"Acaulium species";"yes";"Acaulium sp.";"schimmel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Acetobacter aceti";"AL; comb. nov.; correct name";772484;;;;"acetorace";"Acetobacter aceti";"Germ";"Acetobacter aceti";"yes";"Acetobacter aceti";"acetorspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acetobacter cerevisiae";"VP; sp. nov.; correct name";772492;;;;"acetorcer";"Acetobacter cerevisiae";"Germ";"Acetobacter cerevisiae";"yes";"Acetobacter cerevisiae";"acetorspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acetobacter pasteurianus";"AL; comb. nov.; correct name";772511;;;;"acetorpas";"Acetobacter pasteurianus";"Germ";"Acetobacter pasteurianus";"yes";"Acetobacter pasteurianus";"acetorspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acetobacter persici";"VL; sp. nov.; correct name";790357;;;;"acetorper";"Acetobacter persici";"Germ";"Acetobacter persici";"yes";"Acetobacter persici";"acetorspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acetobacter species";"AL; gen. nov.; correct name";514991;;;;"acetorspe";"Acetobacter species";"Germ";"Acetobacter species";"yes";"Acetobacter species";"gramnegstaaf";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acholeplasma laidlawii";"AL; comb. nov.; correct name";772547;;;;"acholalai";"Acholeplasma laidlawii";"Germ";"Acholeplasma laidlawii";"?";"Acholeplasma laidlawii";"acholaspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acholeplasma species";"AL; gen. nov.; correct name";515002;;;;"acholaspe";"Acholeplasma species";"Germ";"Acholeplasma species";"?";"Acholeplasma species";"zondercel";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Achromobacter denitrificans";"VP; comb. nov.; correct name";772551;;;;"achrorden";"Achromobacter denitrificans";"Germ";"Achromobacter denitrificans";"yes";"Achromobacter denitrificans";"achrorspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Achromobacter insolitus";"VP; sp. nov.; correct name";783264;;;;"achrorins";"Achromobacter insolitus";"Germ";"Achromobacter insolitus";"yes";"Achromobacter insolitus";"achrorspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Achromobacter mucicolens";"VL; sp. nov.; correct name";790792;;;;"achrormuc";"Achromobacter mucicolens";"Germ";"Achromobacter mucicolens";"yes";"Achromobacter mucicolens";"achrorspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Achromobacter piechaudii";"VL; comb. nov.; correct name";772562;;;;"achrorpie";"Achromobacter piechaudii";"Germ";"Achromobacter piechaudii";"yes";"Achromobacter piechaudii";"achrorspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Achromobacter ruhlandii";"VL; comb. nov.; correct name";772563;;;;"achrorruh";"Achromobacter ruhlandii";"Germ";"Achromobacter ruhlandii";"yes";"Achromobacter ruhlandii";"achrorspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Achromobacter spanius";"VP; sp. nov.; correct name";783265;;;;"achrorspa";"Achromobacter spanius";"Germ";"Achromobacter spanius";"yes";"Achromobacter spanius";"achrorspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Achromobacter species";"VP; gen. nov., nom. rev.; correct name";515003;;;;"achrorspe";"Achromobacter species";"Germ";"Achromobacter species";"yes";"Achromobacter species";"gramnegstaaf";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Achromobacter xylosoxidans";"VP; sp. nov., nom. rev.; correct name";772566;;;;"achrorxyl";"Achromobacter xylosoxidans";"Germ";"Achromobacter xylosoxidans";"yes";"Achromobacter xylosoxidans";"achrorspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Achromobacter xylosoxidans xylosoxidans";"VP; subsp. nov.; synonym";772568;;;;"achrorxyl-x";"Achromobacter xylosoxidans subsp. xylosoxidans";"Germ";"Achromobacter xylosoxidans";"yes";"Achromobacter xylosoxidans ssp xylosoxidans";"achrorspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acidaminococcus fermentans";"AL; sp. nov.; correct name";772571;;;;"acidasfer";"Acidaminococcus fermentans";"Germ";"Acidaminococcus fermentans";"no";"Acidaminococcus fermentans";"acidasspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acidaminococcus intestini";"VP; sp. nov.; correct name";786784;;;;"acidasint";"Acidaminococcus intestini";"Germ";"Acidaminococcus intestini";"no";"Acidaminococcus intestini";"acidasspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acidaminococcus species";"AL; gen. nov.; correct name";515006;;;;"acidasspe";"Acidaminococcus species";"Germ";"Acidaminococcus species";"no";"Acidaminococcus species";"gramnegcoc";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acidiphilium acidophilum";"VP; comb. nov.; correct name";772579;;;;"acidimaci";"Acidiphilium acidophilum";"Germ";"Acidiphilium acidophilum";"?";"Acidiphilium acidophilum";"acidimspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acidiphilium species";"VP; gen. nov.; correct name";515010;;;;"acidimspe";"Acidiphilium species";"Germ";"Acidiphilium species";"?";"Acidiphilium species";"gramnegstaaf";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Propionibacterium acidipropionici";"AL; sp. nov.; synonym";794760;;;"Acidipropionibacterium acidipropionici ";"acidipmaci";"Acidipropionibacterium acidipropionici ";"Germ";"Acidipropionibacterium acidipropionici ";"no";"Acidipropionibacterium acidipropionici ";"acidipmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Propionibacterium jensenii";"AL; sp. nov.; synonym";794758;;;"Acidipropionibacterium jensenii ";"acidipmjen";"Acidipropionibacterium jensenii ";"Germ";"Acidipropionibacterium jensenii ";"no";"Acidipropionibacterium jensenii ";"acidipmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Propionibacterium microaerophilum";"VP; sp. nov.; synonym";794761;;;"Acidipropionibacterium microaerophilum ";"acidipmmic";"Acidipropionibacterium microaerophilum ";"Germ";"Acidipropionibacterium microaerophilum ";"no";"Acidipropionibacterium microaerophilum ";"acidipmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
;;;;;;"acidipmspe";"Acidipropionibacterium species ";"Germ";"Acidipropionibacterium species ";"no";"Acidipropionibacterium species ";"gramposstaaf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Propionibacterium thoenii";"AL; sp. nov.; synonym";794759;;;"Acidipropionibacterium thoenii ";"acidipmtho";"Acidipropionibacterium thoenii ";"Germ";"Acidipropionibacterium thoenii ";"no";"Acidipropionibacterium thoenii ";"acidipmspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acidovorax avenae";"VP; comb. nov.; correct name";783274;;;;"acidoxave";"Acidovorax avenae";"Germ";"Acidovorax avenae";"yes";"Acidovorax avenae";"acidoxspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acidovorax citrulli ";"VP; comb. nov.; synonym";787825;;;;"acidoxcit";"Acidovorax citrulli ";"Germ";"Acidovorax citrulli ";"yes";"Acidovorax citrulli ";"acidoxspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acidovorax defluvii";"VL; sp. nov.; correct name";772599;;;;"acidoxdef";"Acidovorax defluvii";"Germ";"Acidovorax defluvii";"yes";"Acidovorax defluvii";"acidoxspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acidovorax delafieldii";"VP; comb. nov.; correct name";772600;;;;"acidoxdel";"Acidovorax delafieldii";"Germ";"Acidovorax delafieldii";"yes";"Acidovorax delafieldii";"acidoxspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acidovorax facilis";"VP; comb. nov.; correct name";772601;;;;"acidoxfac";"Acidovorax facilis";"Germ";"Acidovorax facilis";"yes";"Acidovorax facilis";"acidoxspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acidovorax species";"VP; gen. nov.; correct name";515020;;;;"acidoxspe";"Acidovorax species";"Germ";"Acidovorax species";"yes";"Acidovorax species";"gramnegstaaf";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acidovorax temperans";"VP; sp. nov.; correct name";772607;;;;"acidoxtem";"Acidovorax temperans";"Germ";"Acidovorax temperans";"yes";"Acidovorax temperans";"acidoxspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acidovorax wautersii";"VP; sp. nov.; correct name";790829;;;;"acidoxwau";"Acidovorax wautersii";"Germ";"Acidovorax wautersii";"yes";"Acidovorax wautersii";"acidoxspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acinetobacter baumannii";"VP; sp. nov.; correct name";772610;;;;"acinerbau";"Acinetobacter baumannii";"Germ";"Acinetobacter baumannii/calcoaceticus complex (waarschijnlijk A. baumannii)";"yes";"Acinetobacter baumannii (baumannii/calcoaceticus complex)";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter calcoaceticus";"AL; comb. nov.; correct name";772613;;;;"acinercal";"Acinetobacter calcoaceticus";"Germ";"Acinetobacter baumannii/calcoaceticus complex (waarschijnlijk A. calcoaceticus)";"yes";"Acinetobacter calcoaceticus (baumannii/calcoaceticus complex)";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter lactucae ";;794598;;;;"acinerlac";"Acinetobacter lactucae ";"Germ";"Acinetobacter baumannii/calcoaceticus complex (waarschijnlijk A. lactucae)";"yes";"Acinetobacter lactucae (baumannii/calcoaceticus complex)";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acinetobacter nosocomialis";"VL; sp. nov.; correct name";789231;;;;"acinernos";"Acinetobacter nosocomialis";"Germ";"Acinetobacter baumannii/calcoaceticus complex (waarschijnlijk A. nosocomialis)";"yes";"Acinetobacter nosocomialis (baumannii/calcoaceticus complex)";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter pittii";"VL; sp. nov.; correct name";789232;;;;"acinerpit";"Acinetobacter pittii";"Germ";"Acinetobacter baumannii/calcoaceticus complex (waarschijnlijk A. pittii)";"yes";"Acinetobacter pittii (baumannii/calcoaceticus complex)";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter baylyi";"VP; sp. nov.; correct name";772611;;;;"acinerbay";"Acinetobacter baylyi";"Germ";"Acinetobacter baylyi";"yes";"Acinetobacter baylyi";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter beijerinckii";"VP; sp. nov.; correct name";787668;;;;"acinerbei";"Acinetobacter beijerinckii";"Germ";"Acinetobacter beijerinckii";"yes";"Acinetobacter beijerinckii";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acinetobacter bereziniae";"VP; sp. nov.; correct name";788443;;;;"acinerber";"Acinetobacter bereziniae";"Germ";"Acinetobacter bereziniae";"yes";"Acinetobacter bereziniae";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter bouvetii";"VP; sp. nov.; correct name";772612;;;;"acinerbou";"Acinetobacter bouvetii";"Germ";"Acinetobacter bouvetii";"yes";"Acinetobacter bouvetii";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter courvalinii";"VP; sp. nov.; correct name";794035;;;;"acinercou";"Acinetobacter courvalinii";"Germ";"Acinetobacter courvalinii";"yes";"Acinetobacter courvalinii";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acinetobacter dispersus";"VP; sp. nov.; correct name";794036;;;;"acinerdis";"Acinetobacter dispersus";"Germ";"Acinetobacter dispersus";"yes";"Acinetobacter dispersus";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"NULL";"NULL";"NULL";"NULL";;;"acinergen";"Acinetobacter genospecies 3";"Germ";"Acinetobacter genospecies 3";"yes";"Acinetobacter genospecies 3";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter gerneri";"VP; sp. nov.; correct name";772616;;;;"acinerger";"Acinetobacter gerneri";"Germ";"Acinetobacter gerneri";"yes";"Acinetobacter gerneri";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter guillouiae";"VP; sp. nov.; correct name";788442;;;;"acinergui";"Acinetobacter guillouiae";"Germ";"Acinetobacter guillouiae";"yes";"Acinetobacter guillouiae";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter haemolyticus";"VP; sp. nov., nom. rev.; correct name";772618;;;;"acinerhae";"Acinetobacter haemolyticus";"Germ";"Acinetobacter haemolyticus";"yes";"Acinetobacter haemolyticus";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter johnsonii";"VP; sp. nov.; correct name";772619;;;;"acinerjoh";"Acinetobacter johnsonii";"Germ";"Acinetobacter johnsonii";"yes";"Acinetobacter johnsonii";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter junii";"VP; sp. nov.; correct name";772620;;;;"acinerjun";"Acinetobacter junii";"Germ";"Acinetobacter junii";"yes";"Acinetobacter junii";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter lwoffii";"AL; comb. nov.; correct name";772622;;;;"acinerlwo";"Acinetobacter lwoffii";"Germ";"Acinetobacter lwoffii";"yes";"Acinetobacter lwoffii";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter modestus";"VP; sp. nov.; correct name";794039;;;;"acinermod";"Acinetobacter modestus";"Germ";"Acinetobacter modestus";"yes";"Acinetobacter modestus";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acinetobacter nectaris";"VP; sp. nov.; correct name";790645;;;;"acinernec";"Acinetobacter nectaris";"Germ";"Acinetobacter nectaris";"yes";"Acinetobacter nectaris";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter parvus";"VP; sp. nov.; correct name";772624;;;;"acinerpar";"Acinetobacter parvus";"Germ";"Acinetobacter parvus";"yes";"Acinetobacter parvus";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter proteolyticus";"VP; sp. nov.; correct name";794040;;;;"acinerpro";"Acinetobacter proteolyticus";"Germ";"Acinetobacter proteolyticus";"yes";"Acinetobacter proteolyticus";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Acinetobacter radioresistens";"VP; sp. nov.; correct name";772626;;;;"acinerrad";"Acinetobacter radioresistens";"Germ";"Acinetobacter radioresistens";"yes";"Acinetobacter radioresistens";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter schindleri";"VP; sp. nov.; correct name";772627;;;;"acinersch";"Acinetobacter schindleri";"Germ";"Acinetobacter schindleri";"yes";"Acinetobacter schindleri";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter species";"AL; gen. nov.; correct name";515021;;;;"acinerspe";"Acinetobacter species";"Germ";"Acinetobacter species";"yes";"Acinetobacter species";"gramnegstaaf";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter tandoii";"VP; sp. nov.; correct name";772630;;;;"acinertan";"Acinetobacter tandoii";"Germ";"Acinetobacter tandoii";"yes";"Acinetobacter tandoii";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter tjernbergiae";"VP; sp. nov.; correct name";772631;;;;"acinertje";"Acinetobacter tjernbergiae";"Germ";"Acinetobacter tjernbergiae";"yes";"Acinetobacter tjernbergiae";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter towneri";"VP; sp. nov.; correct name";772632;;;;"acinertow";"Acinetobacter towneri";"Germ";"Acinetobacter towneri";"yes";"Acinetobacter towneri";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter ursingii";"VP; sp. nov.; correct name";772633;;;;"acinerurs";"Acinetobacter ursingii";"Germ";"Acinetobacter ursingii";"yes";"Acinetobacter ursingii";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";4
"Acinetobacter venetianus";"VP; sp. nov., nom. rev.; correct name";787907;;;;"acinerven";"Acinetobacter venetianus";"Germ";"Acinetobacter venetianus";"yes";"Acinetobacter venetianus";"acinerspe";"?";"?";"Antibiogram";"?";"Yes";"no";"?";1;"no";"no";"no";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
